,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
0,1/2/2013,5.4,5.55,5.3,5.5,890201,-1,,,,,
1,1/3/2013,5.5,5.5,5.25,5.25,708045,-1,,,,,
2,1/4/2013,5.2,5.3,5.05,5.3,979046,-1,,,,,
3,1/7/2013,5.35,5.45,5.3,5.4,621431,-1,,,,,
4,1/8/2013,5.4,5.45,5.3,5.45,354001,-1,,,,,
5,1/9/2013,5.45,5.9,5.45,5.8,1749840,-1,,,,,
6,1/10/2013,5.8,5.9,5.7,5.75,831728,-1,,,,,
7,1/11/2013,5.75,5.9,5.75,5.9,840403,-1,,,,,
8,1/14/2013,5.9,6.2,5.85,6.1,1117157,-1,,,,,
9,1/15/2013,6.1,6.15,6.0,6.05,476147,-1,,,,,
10,1/16/2013,6.05,6.1,6.0,6.1,462456,-1,,,,,
11,1/17/2013,6.15,6.3,6.1,6.15,808217,-1,,,,,
12,1/18/2013,6.2,6.3,6.15,6.2,586482,-1,,,,,
13,1/21/2013,6.25,6.6,6.15,6.55,1175475,-1,,,,,
14,1/22/2013,6.55,6.6,6.4,6.45,675143,-1,,,,,
15,1/23/2013,6.5,6.55,6.1,6.5,951772,-1,,,,,
16,1/24/2013,6.5,6.5,6.35,6.5,552499,-1,,,,,
17,1/25/2013,6.5,6.5,6.3,6.5,1699738,-1,,,,,
18,1/28/2013,6.5,6.5,6.25,6.25,1613602,-1,,,,,
19,1/29/2013,6.35,6.4,6.25,6.3,846984,-1,,,,,
20,1/30/2013,6.3,6.35,6.05,6.1,1468824,-1,,,,,
21,1/31/2013,6.1,6.3,5.9,6.0,1983717,-1,,,,,
22,2/1/2013,6.1,6.2,6.05,6.15,976617,-1,,,,,
23,2/4/2013,6.15,6.2,6.05,6.1,518500,-1,,,,,
24,2/5/2013,6.1,6.2,6.1,6.1,1007585,-1,,,,,
25,2/6/2013,6.15,6.35,6.1,6.25,1768489,-1,,,,,
26,2/7/2013,6.25,6.3,6.2,6.3,889480,-1,,,,,
27,2/8/2013,6.25,6.3,6.15,6.15,1417292,-1,,,,,
28,2/11/2013,6.2,6.3,6.1,6.15,495711,-1,,,,,
29,2/12/2013,6.15,6.15,6.0,6.05,641467,-1,,,,,
30,2/13/2013,6.05,6.15,6.0,6.05,1031734,-1,,,,,
31,2/14/2013,6.1,6.15,5.95,6.0,1087021,-1,,,,,
32,2/15/2013,6.0,6.0,5.6,5.85,2675276,-1,,,,,
33,2/18/2013,5.95,6.0,5.85,5.9,1636618,-1,,,,,
34,2/19/2013,5.95,6.0,5.8,6.0,1376414,-1,,,,,
35,2/20/2013,6.05,6.2,6.0,6.2,1428855,-1,,,,,
36,2/21/2013,6.2,6.35,6.15,6.2,1754097,-1,,,,,
37,2/22/2013,6.3,6.45,6.25,6.45,1571991,-1,,,,,
38,2/26/2013,6.65,6.7,6.4,6.45,2528806,-1,,,,,
39,2/27/2013,6.55,6.65,6.5,6.5,1493620,-1,,,,,
40,2/28/2013,6.55,6.75,6.5,6.75,2177929,-1,,,,,
41,3/1/2013,6.75,6.85,6.65,6.7,1342426,-1,,,,,
42,3/4/2013,6.8,6.8,6.65,6.75,829773,-1,,,,,
43,3/5/2013,6.8,6.9,6.7,6.8,1155570,-1,,,,,
44,3/6/2013,6.9,6.9,6.75,6.85,875950,-1,,,,,
45,3/7/2013,6.85,6.9,6.7,6.85,851409,-1,,,,,
46,3/8/2013,6.9,7.0,6.85,6.9,1299219,-1,,,,,
47,3/11/2013,7.0,7.1,6.9,6.95,846391,-1,,,,,
48,3/12/2013,7.05,7.05,6.8,6.85,871764,-1,,,,,
49,3/13/2013,6.95,6.95,6.8,6.9,529589,-1,,,,,
50,3/14/2013,6.9,6.95,6.85,6.9,387329,-1,,,,,
51,3/15/2013,6.95,7.1,6.9,7.1,1215357,-1,,,,,
52,3/18/2013,6.95,7.0,6.8,6.85,926744,-1,,,,,
53,3/19/2013,6.9,6.95,6.45,6.65,1003010,-1,,,,,
