,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
0,1/2/2013,183.5,186.0,183.0,184.5,31779,-1,,,,,
1,1/3/2013,184.5,185.0,181.5,182.0,65790,-1,,,,,
2,1/4/2013,181.0,184.0,180.0,184.0,43190,-1,,,,,
3,1/7/2013,184.5,184.5,181.0,181.0,24609,-1,,,,,
4,1/8/2013,182.0,183.5,181.0,183.5,28967,-1,,,,,
5,1/9/2013,184.0,184.5,183.0,183.5,25468,-1,,,,,
6,1/10/2013,183.5,185.0,180.0,180.5,39729,-1,,,,,
7,1/11/2013,178.5,179.5,174.5,175.5,166752,-1,,,,,
8,1/14/2013,176.0,176.5,175.0,176.0,43257,-1,,,,,
9,1/15/2013,176.5,176.5,174.0,176.0,31590,-1,,,,,
10,1/16/2013,175.5,176.0,171.5,172.5,60131,-1,,,,,
11,1/17/2013,174.0,174.0,170.5,171.5,65894,-1,,,,,
12,1/18/2013,172.5,176.0,172.5,175.0,36175,-1,,,,,
13,1/21/2013,175.0,176.5,174.5,176.0,18428,-1,,,,,
14,1/22/2013,176.0,178.0,175.5,176.5,38114,-1,,,,,
15,1/23/2013,177.0,177.5,174.0,175.0,34183,-1,,,,,
16,1/24/2013,176.0,176.5,174.0,176.0,20396,-1,,,,,
17,1/25/2013,176.0,179.5,176.0,178.0,75196,-1,,,,,
18,1/28/2013,179.0,181.0,178.5,180.5,63760,-1,,,,,
19,1/29/2013,181.5,181.5,179.0,179.5,30037,-1,,,,,
20,1/30/2013,179.0,181.0,177.5,181.0,41357,-1,,,,,
21,1/31/2013,179.0,181.5,178.0,179.0,50482,-1,,,,,
22,2/1/2013,179.5,181.0,178.0,181.0,72106,-1,,,,,
23,2/4/2013,181.5,182.5,179.5,180.5,108642,-1,,,,,
24,2/5/2013,179.0,180.0,178.5,180.0,61949,-1,,,,,
25,2/6/2013,181.0,181.0,178.5,178.5,51979,-1,,,,,
26,2/7/2013,179.0,179.5,176.0,176.5,71155,-1,,,,,
27,2/8/2013,175.5,176.0,173.0,174.0,95485,-1,,,,,
28,2/11/2013,174.0,174.0,170.5,170.5,31845,-1,,,,,
29,2/12/2013,170.0,172.0,169.0,169.5,59301,-1,,,,,
30,2/13/2013,171.0,174.0,171.0,174.0,113600,1,,,,,
31,2/14/2013,174.5,174.5,172.5,173.0,56137,1,500.0,-87398.325,,,
32,2/15/2013,172.5,173.5,171.0,173.0,64313,1,,,,,
33,2/18/2013,172.5,173.0,171.5,172.0,55418,1,,,,,
34,2/19/2013,172.0,174.0,172.0,173.5,53920,1,,,,,
35,2/20/2013,174.0,176.0,173.5,175.5,126235,1,,,,,
36,2/21/2013,176.0,176.5,174.0,175.0,84111,1,,,,,
37,2/22/2013,176.0,178.0,175.5,177.5,50086,1,,,,,
38,2/26/2013,176.0,178.0,174.5,178.0,78767,1,,,,,
39,2/27/2013,176.5,177.0,174.0,174.0,56078,1,,,,,
40,2/28/2013,175.0,178.0,173.0,178.0,75607,1,,,,,
41,3/1/2013,179.0,179.0,177.0,178.0,73637,1,,,,,
42,3/4/2013,179.0,179.0,177.0,178.5,66642,1,,,,,
43,3/5/2013,180.0,180.0,177.0,177.0,37029,1,,,,,
44,3/6/2013,179.0,179.5,178.0,179.0,41479,1,,,,,
